goodrx_default_quantity,goodrx_dosage,goodrx_drug_id,goodrx_form_name,goodrx_slug,mapping_source,description,dosage_form,strength,billing_unit,gcn,gcn_seqno,medid,with_modified_retail_package
60,450mg,32747,tablet,theochron,manual,"theophylline ER 450 mg tablet,extended release,12 hr",tablet extended release 12 hr,450,each,416,95,246337,f
60,450mg,32747,tablet,uniphyl,manual,"theophylline ER 450 mg tablet,extended release,12 hr",tablet extended release 12 hr,450,each,416,95,246337,f
60,450mg,32747,tablet,theochron,manual,"theophylline ER 450 mg tablet,extended release,12 hr",tablet extended release 12 hr,450,each,416,95,246337,f
30,80mg-25mg,8599,tablet,inderide,manual,Inderide 80 mg-25 mg tablet,tablet,80-25,each,52031,411,246361,f
30,80mg-25mg,8599,tablet,inderide,manual,Inderide 80 mg-25 mg tablet,tablet,80-25,each,52031,411,246361,f
60,2mg,4286,tablet,klonopin,manual,clonazepam 2 mg tablet,tablet,2,each,17472,4562,246372,f
60,2mg,4286,tablet,clonazepam,manual,clonazepam 2 mg tablet,tablet,2,each,17472,4562,246372,f
60,100mg,799,chewable-tablet,carbamazepine,manual,carbamazepine 100 mg chewable tablet,"tablet,chewable",100,each,17460,4559,246373,f
60,100mg,799,chewable-tablet,tegretol,manual,carbamazepine 100 mg chewable tablet,"tablet,chewable",100,each,17460,4559,246373,f
60,100mg,799,chewable-tablet,carbamazepine,manual,carbamazepine 100 mg chewable tablet,"tablet,chewable",100,each,17460,4559,246373,f
30,0.25mg,30173,tablet,risperidone,manual,Risperdal 0.25 mg tablet,tablet,0.25,each,92872,42922,246386,f
60,60mg,8154,tablet,ms-contin,manual,"MS Contin 60 mg tablet,extended release",tablet extended release,60,each,16641,4097,246480,f
60,60mg,8154,tablet,oramorph-sr,manual,"MS Contin 60 mg tablet,extended release",tablet extended release,60,each,16641,4097,246480,f
90,88mcg,28423,tablet,levothyroxine,gcn_expansion,Synthroid 88 mcg tablet,tablet,88,each,47631,15523,246607,f
90,88mcg,28423,tablet,euthyrox,gcn_expansion,Synthroid 88 mcg tablet,tablet,88,each,47631,15523,246607,f
90,88mcg,28423,tablet,synthroid,gcn_expansion,Synthroid 88 mcg tablet,tablet,88,each,47631,15523,246607,f
30,150mg-12.5mg,34101,tablet,avalide,manual,Avalide 150 mg-12.5 mg tablet,tablet,150-12.5,each,11042,41234,246658,f
1,10ml-of-1000mcg-ml,31320,vial,vibisone,manual,"Tia-Doce S 1,000 mcg/mL injection solution",solution,"1,000",milliliters,94594,2329,246690,f
1,10ml-of-1000mcg-ml,31320,vial,cyanocobalamin,manual,"Tia-Doce S 1,000 mcg/mL injection solution",solution,"1,000",milliliters,94594,2329,246690,f
60,4mg,22206,tablet,galantamine,gcn_expansion,Reminyl 4 mg tablet,tablet,4,each,84854,46926,246705,f
60,4mg,22206,tablet,razadyne,gcn_expansion,Reminyl 4 mg tablet,tablet,4,each,84854,46926,246705,f
60,4mg,22206,tablet,galantamine,gcn_expansion,Reminyl 4 mg tablet,tablet,4,each,84854,46926,246705,f
30,80mg,5329,capsule,inderal-la,manual,"propranolol ER 80 mg capsule,24 hr,extended release","capsule,extended release 24 hr",80,each,3230,5116,246724,f
30,80mg,5329,capsule,inderal-la,manual,"propranolol ER 80 mg capsule,24 hr,extended release","capsule,extended release 24 hr",80,each,3230,5116,246724,f
30,0.4mg,5164,patch,nitro-dur,gcn_expansion,Deponit 0.4 mg/hr transdermal 24 hour patch,patch 24 hour,0.4,each,1740,465,246742,f
30,0.4mg,5164,patch,minitran,gcn_expansion,Deponit 0.4 mg/hr transdermal 24 hour patch,patch 24 hour,0.4,each,1740,465,246742,f
30,25mg,118,tablet,phenergan,manual,promethazine 25 mg tablet,tablet,25,each,15043,3878,246852,f
30,25mg,118,tablet,promethazine,manual,promethazine 25 mg tablet,tablet,25,each,15043,3878,246852,f
30,25mg,118,tablet,phenergan,manual,promethazine 25 mg tablet,tablet,25,each,15043,3878,246852,f
30,25mg,118,tablet,promethazine,manual,promethazine 25 mg tablet,tablet,25,each,15043,3878,246852,f
1,5ml-of-1000mcg-ml,33837,vial,octreotide,manual,"octreotide acetate 1,000 mcg/mL injection solution",solution,"1,000",milliliters,26542,16588,246879,f
30,50mg-25mg,21263,tablet,capozide,manual,captopril 50 mg-hydrochlorothiazide 25 mg tablet,tablet,50-25,each,54943,377,246934,f
1,50g-of-0.05%25,34542,can-of-foam,olux,manual,clobetasol 0.05 % topical foam,foam,0.05,grams,89743,46803,247009,f
1,50g-of-0.05%25,34542,can-of-foam,clobetasol,manual,clobetasol 0.05 % topical foam,foam,0.05,grams,89743,46803,247009,f
60,50mg,152,tablet,captopril,manual,captopril 50 mg tablet,tablet,50,each,1482,381,247057,f
60,50mg,152,tablet,captopril,manual,captopril 50 mg tablet,tablet,50,each,1482,381,247057,f
60,50mg,152,tablet,capoten,manual,captopril 50 mg tablet,tablet,50,each,1482,381,247057,f
60,300mg,5607,capsule,ursodiol,manual,ursodiol 300 mg capsule,capsule,300,each,1070,3095,247089,f
60,300mg,5607,capsule,ursodiol,manual,ursodiol 300 mg capsule,capsule,300,each,1070,3095,247089,f
30,25mg,5809,tablet,antivert,gcn_expansion,Antivert 25 mg tablet,tablet,25,each,18302,4732,247101,f
30,25mg,5809,tablet,antivert,gcn_expansion,Antivert 25 mg tablet,tablet,25,each,18302,4732,247101,f
90,10mg,725,tablet,accupril,gcn_expansion,Accupril 10 mg tablet,tablet,10,each,27570,18772,247110,f
90,10mg,725,tablet,quinapril,gcn_expansion,Accupril 10 mg tablet,tablet,10,each,27570,18772,247110,f
90,10mg,725,tablet,accupril,gcn_expansion,Accupril 10 mg tablet,tablet,10,each,27570,18772,247110,f
1,10ml-of-10000units-1mg-ml,35582,eye-dropper,polymyxin-b-trimethoprim,manual,"polymyxin B sulfate 10,000 unit-trimethoprim 1 mg/mL eye drops",drops,"10,000 unit-",milliliters,14294,48570,247143,f
1,10ml-of-10000units-1mg-ml,35582,eye-dropper,polytrim,manual,"polymyxin B sulfate 10,000 unit-trimethoprim 1 mg/mL eye drops",drops,"10,000 unit-",milliliters,14294,48570,247143,f
90,10mg,8823,tablet,dolophine,gcn_expansion,Methadose 10 mg tablet,tablet,10,each,16420,4240,247224,f
90,10mg,8823,tablet,methadone,gcn_expansion,Methadose 10 mg tablet,tablet,10,each,16420,4240,247224,f
90,10mg,8823,tablet,methadose,gcn_expansion,Methadose 10 mg tablet,tablet,10,each,16420,4240,247224,f
30,250mg,7904,capsule,videx,manual,"didanosine 250 mg capsule,delayed release","capsule,delayed release(DR/EC)",250,each,14556,46738,247256,f
30,2.5mg,292,tablet,prednisone,manual,Deltasone 2.5 mg tablet,tablet,2.5,each,27173,6750,247307,f
30,2.5mg,292,tablet,deltasone,manual,Deltasone 2.5 mg tablet,tablet,2.5,each,27173,6750,247307,f
30,2.5mg,292,tablet,prednisone,manual,Deltasone 2.5 mg tablet,tablet,2.5,each,27173,6750,247307,f
30,2.5mg,292,tablet,deltasone,manual,Deltasone 2.5 mg tablet,tablet,2.5,each,27173,6750,247307,f
6,200mg,8163,tablet,phenazopyridine,gcn_expansion,Pyridiate 200 mg tablet,tablet,200,each,42122,9478,247343,f
6,200mg,8163,tablet,phenazopyridine,gcn_expansion,Pyridiate 200 mg tablet,tablet,200,each,42122,9478,247343,f
30,30mg,32096,orally-disintegrating-tab,remeron,manual,Remeron SolTab 30 mg disintegrating tablet,"tablet,disintegrating",30,each,12531,47454,247369,f
30,30mg,32096,orally-disintegrating-tab,mirtazapine,manual,Remeron SolTab 30 mg disintegrating tablet,"tablet,disintegrating",30,each,12531,47454,247369,f
60,30mg,4104,tablet,buspar,gcn_expansion,BuSpar 30 mg tablet,tablet,30,each,92121,44210,247425,f
60,30mg,4104,tablet,buspirone,gcn_expansion,BuSpar 30 mg tablet,tablet,30,each,92121,44210,247425,f
60,30mg,4104,tablet,buspar,gcn_expansion,BuSpar 30 mg tablet,tablet,30,each,92121,44210,247425,f
30,5mg,1527,tablet,warfarin,manual,warfarin 5 mg tablet,tablet,5,each,25793,6562,247449,f
60,2.5mg,22875,tablet,methscopolamine,manual,methscopolamine 2.5 mg tablet,tablet,2.5,each,18861,4842,247468,f
60,2.5mg,22875,tablet,pamine,manual,methscopolamine 2.5 mg tablet,tablet,2.5,each,18861,4842,247468,f
30,100mg,7455,tablet,voltaren-xr,manual,"Diclofenac Sodium CR 100 mg tablet,extended release",tablet extended release 24 hr,100,each,13310,11933,247547,f
30,80mg,39375,tablet,micardis,manual,telmisartan 80 mg tablet,tablet,80,each,23832,40911,247613,f
8,0.5mg,7440,tablet,cabergoline,manual,cabergoline 0.5 mg tablet,tablet,0.5,each,26051,25738,247652,f
30,20mg,43173,tablet,methylphenidate-er,manual,"methylphenidate ER 20 mg tablet,extended release",tablet extended release,20,each,16180,4029,247696,f
30,320mg,40054,tablet,diovan,manual,valsartan 320 mg tablet,tablet,320,each,13838,48399,247725,f
30,30mg,5256,capsule,phentermine,gcn_expansion,Curban 30 mg capsule,capsule,30,each,20692,5154,247777,f
30,30mg,5256,capsule,adipex-p,gcn_expansion,Curban 30 mg capsule,capsule,30,each,20692,5154,247777,f
30,30mg,5256,capsule,phentermine,gcn_expansion,Curban 30 mg capsule,capsule,30,each,20692,5154,247777,f
30,100mg,36415,capsule,neoral,gcn_expansion,Neoral 100 mg capsule,capsule,100,each,13919,23881,247837,f
30,100mg,36415,capsule,cyclosporine-modified,gcn_expansion,Neoral 100 mg capsule,capsule,100,each,13919,23881,247837,f
30,100mg,36415,capsule,neoral,gcn_expansion,Neoral 100 mg capsule,capsule,100,each,13919,23881,247837,f
30,100mg,36415,capsule,gengraf,gcn_expansion,Neoral 100 mg capsule,capsule,100,each,13919,23881,247837,f
60,75mg,13233,tablet,wellbutrin,gcn_expansion,Wellbutrin 75 mg tablet,tablet,75,each,16384,46236,247943,f
60,75mg,13233,tablet,bupropion,gcn_expansion,Wellbutrin 75 mg tablet,tablet,75,each,16384,46236,247943,f
30,16mg,37856,tablet,candesartan,manual,candesartan 16 mg tablet,tablet,16,each,73544,37017,247994,f
30,16mg,37856,tablet,atacand,manual,candesartan 16 mg tablet,tablet,16,each,73544,37017,247994,f
30,1g,40538,vial,methotrexate,manual,methotrexate sodium (PF) 1 gram solution for injection,recon soln,1,each,38468,8790,248091,f
25,0.4mg,30096,sublingual,nitrostat,manual,nitroglycerin 0.6 mg sublingual tablet,"tablet, sublingual",0.6,each,1773,476,248160,f
1,60g-of-0.03%25,40425,tube-of-ointment,protopic,manual,tacrolimus 0.03 % topical ointment,ointment,0.03,grams,12289,47346,248189,f
2,10ml-of-1g-10ml,38657,vial,mesna,manual,mesna 100 mg/mL intravenous solution,solution,100,milliliters,38955,23756,248262,f
90,150mcg,28416,tablet,levothyroxine,manual,levothyroxine 150 mcg tablet,tablet,150,each,26327,6654,248321,f
90,150mcg,28416,tablet,euthyrox,manual,levothyroxine 150 mcg tablet,tablet,150,each,26327,6654,248321,f
90,150mcg,28416,tablet,synthroid,manual,levothyroxine 150 mcg tablet,tablet,150,each,26327,6654,248321,f
90,150mcg,28416,tablet,levo-t,manual,levothyroxine 150 mcg tablet,tablet,150,each,26327,6654,248321,f
1,60-pledgets-of-1%25,37130,carton,clindamycin,manual,clindamycin phosphate 1 % topical swab,swab,1,each,45411,22140,248407,f
1,60-pledgets-of-1%25,37130,carton,cleocin-t,manual,clindamycin phosphate 1 % topical swab,swab,1,each,45411,22140,248407,f
10,1ml-of-30mg-ml,39834,vial,ketorolac,gcn_expansion,Toradol 30 mg/mL (1 mL) injection solution,solution,30,milliliters,35239,39500,248484,f
10,1ml-of-30mg-ml,39834,vial,ketorolac,gcn_expansion,Toradol 30 mg/mL (1 mL) injection solution,solution,30,milliliters,35239,39500,248484,f
10,1ml-of-30mg-ml,39834,vial,toradol,gcn_expansion,Toradol 30 mg/mL (1 mL) injection solution,solution,30,milliliters,35239,39500,248484,f
60,50mg,8623,tablet,tambocor,manual,flecainide 50 mg tablet,tablet,50,each,1581,265,248491,f
60,50mg,8623,tablet,flecainide,manual,flecainide 50 mg tablet,tablet,50,each,1581,265,248491,f
30,500mg,41105,chewable-tablet,calcium-carbonate,manual,calcium carbonate 200 mg calcium (500 mg) chewable tablet,"tablet,chewable",200 mg calcium,each,7893,2689,248515,f
40,250mg,34117,capsule,vancocin,manual,vancomycin 250 mg capsule,capsule,250,each,41371,9327,248652,f
40,250mg,34117,capsule,vancomycin,manual,vancomycin 250 mg capsule,capsule,250,each,41371,9327,248652,f
30,160mg-12.5mg,36842,tablet,diovan-hct,gcn_expansion,Diovan HCT 160 mg-12.5 mg tablet,tablet,160-12.5,each,9760,38925,248758,f
1,45g-of-0.75%25,34692,tube-of-cream,metronidazole,manual,metronidazole 0.75 % topical cream,cream,0.75,grams,43203,41799,248775,f
1,45g-of-0.75%25,34692,tube-of-cream,metronidazole,manual,metronidazole 0.75 % topical cream,cream,0.75,grams,43203,41799,248775,f
1,45g-of-0.75%25,34692,tube-of-cream,metrocream,manual,metronidazole 0.75 % topical cream,cream,0.75,grams,43203,41799,248775,f
30,5mg,12812,tablet,prednisone,gcn_expansion,Deltasone Dose Pack 5 mg tablet,tablet,5,each,27176,6753,248779,t
30,5mg,12812,tablet,deltasone,gcn_expansion,Deltasone Dose Pack 5 mg tablet,tablet,5,each,27176,6753,248779,t
30,5mg,12812,tablet,prednisone,gcn_expansion,Deltasone Dose Pack 5 mg tablet,tablet,5,each,27176,6753,248779,t
30,5mg,12812,tablet,deltasone,gcn_expansion,Deltasone Dose Pack 5 mg tablet,tablet,5,each,27176,6753,248779,t
30,100mg,20910,tablet,amoxapine,manual,amoxapine 100 mg tablet,tablet,100,each,16557,46081,248823,f
30,100mg,20910,tablet,asendin,manual,amoxapine 100 mg tablet,tablet,100,each,16557,46081,248823,f
1,500mcg-50mcg,43705,diskus-inhaler,advair,manual,fluticasone 500 mcg-salmeterol 50 mcg/dose blistr powdr for inhalation,blister with device,500-50,each,50604,43368,248857,f
30,10mg,8383,tablet,haldol,manual,haloperidol 10 mg tablet,tablet,10,each,15532,3974,248873,f
30,10mg,8383,tablet,haloperidol,manual,haloperidol 10 mg tablet,tablet,10,each,15532,3974,248873,f
30,10mg,8383,tablet,haldol,manual,haloperidol 10 mg tablet,tablet,10,each,15532,3974,248873,f
30,10mg,8383,tablet,haloperidol,manual,haloperidol 10 mg tablet,tablet,10,each,15532,3974,248873,f
60,1000mg,33883,tablet,mandelamine,manual,methenamine mandelate 1 gram tablet,tablet,1,each,42032,9460,249164,f
30,40mg,176,tablet,furosemide,gcn_expansion,Rose-40 40 mg tablet,tablet,40,each,34962,8209,249233,f
30,40mg,176,tablet,furosemide,gcn_expansion,Rose-40 40 mg tablet,tablet,40,each,34962,8209,249233,f
30,250mg,5605,tablet,ursodiol,manual,ursodiol 250 mg tablet,tablet,250,each,1072,24333,249255,f
30,250mg,5605,tablet,urso-250,manual,ursodiol 250 mg tablet,tablet,250,each,1072,24333,249255,f
30,250mg,5605,tablet,ursodiol,manual,ursodiol 250 mg tablet,tablet,250,each,1072,24333,249255,f
120,2mg-5ml,30811,syrup,albuterol,manual,albuterol sulfate 2 mg/5 mL oral syrup,syrup,2,milliliters,22780,5032,249303,f
120,2mg-5ml,30811,syrup,albuterol,manual,albuterol sulfate 2 mg/5 mL oral syrup,syrup,2,milliliters,22780,5032,249303,f
12,30mg,27761,suppository,hydrocortisone-acetate,manual,hydrocortisone acetate 30 mg rectal suppository,suppository,30,each,27944,31773,249332,f
12,30mg,27761,suppository,hydrocortisone-acetate,manual,hydrocortisone acetate 30 mg rectal suppository,suppository,30,each,27944,31773,249332,f
30,25mg,1396,tablet,losartan,manual,losartan 25 mg tablet,tablet,25,each,14850,23381,249335,f
30,25mg,1396,tablet,losartan,manual,losartan 25 mg tablet,tablet,25,each,14850,23381,249335,f
30,25mg,1396,tablet,cozaar,manual,losartan 25 mg tablet,tablet,25,each,14850,23381,249335,f
120,15mg,23997,capsule,zerit,manual,stavudine 15 mg capsule,capsule,15,each,26711,21982,249427,f
120,15mg,23997,capsule,stavudine,manual,stavudine 15 mg capsule,capsule,15,each,26711,21982,249427,f
1,10ml-of-1000mcg-ml,31320,vial,vibisone,manual,"Neuroforte-R 1,000 mcg/mL injection solution",solution,"1,000",milliliters,94594,2329,249451,f
1,10ml-of-1000mcg-ml,31320,vial,cyanocobalamin,manual,"Neuroforte-R 1,000 mcg/mL injection solution",solution,"1,000",milliliters,94594,2329,249451,f
30,100mg,4862,tablet,lamictal,manual,Lamictal 100 mg tablet,tablet,100,each,64316,17871,249474,f
30,100mg,4862,tablet,lamictal,manual,Lamictal 100 mg tablet,tablet,100,each,64316,17871,249474,f
120,4mg,7766,tablet,hydromorphone,manual,Dilaudid 4 mg tablet,tablet,4,each,16143,4112,249525,f
120,4mg,7766,tablet,dilaudid,manual,Dilaudid 4 mg tablet,tablet,4,each,16143,4112,249525,f
6,200mg,8163,tablet,phenazopyridine,manual,Urodol 200 mg tablet,tablet,200,each,42122,9478,249537,f
6,200mg,8163,tablet,phenazopyridine,manual,Urodol 200 mg tablet,tablet,200,each,42122,9478,249537,f
1,5ml-of-0.2%25,35439,eye-dropper,brimonidine,manual,brimonidine 0.2 % eye drops,drops,0.2,milliliters,36281,27882,249555,f
1,60g-of-0.05%25,34654,tube-of-gel,lidex,gcn_expansion,Lidex 0.05 % topical gel,gel,0.05,grams,31380,7615,249561,f
1,60g-of-0.05%25,34654,tube-of-gel,fluocinonide,gcn_expansion,Lidex 0.05 % topical gel,gel,0.05,grams,31380,7615,249561,f
1,60g-of-0.05%25,34654,tube-of-gel,lidex,gcn_expansion,Lidex 0.05 % topical gel,gel,0.05,grams,31380,7615,249561,f
30,5mg,843,tablet,methimazole,gcn_expansion,Tapazole 5 mg tablet,tablet,5,each,26401,6675,249707,f
30,5mg,843,tablet,methimazole,gcn_expansion,Tapazole 5 mg tablet,tablet,5,each,26401,6675,249707,f
60,2mg,4286,tablet,klonopin,manual,Klonopin 2 mg tablet,tablet,2,each,17472,4562,249737,f
60,2mg,4286,tablet,clonazepam,manual,Klonopin 2 mg tablet,tablet,2,each,17472,4562,249737,f
30,25mg,67,capsule,indocin,manual,indomethacin 25 mg capsule,capsule,25,each,35680,8336,249746,f
30,25mg,67,capsule,indocin,manual,indomethacin 25 mg capsule,capsule,25,each,35680,8336,249746,f
60,125mg,13253,tablet,depakote,manual,"divalproex 125 mg tablet,delayed release","tablet,delayed release (DR/EC)",125,each,17292,4538,249779,f
60,125mg,13253,tablet,divalproex,manual,"divalproex 125 mg tablet,delayed release","tablet,delayed release (DR/EC)",125,each,17292,4538,249779,f
60,125mg,13253,tablet,depakote,manual,"divalproex 125 mg tablet,delayed release","tablet,delayed release (DR/EC)",125,each,17292,4538,249779,f
60,125mg,13253,tablet,divalproex,manual,"divalproex 125 mg tablet,delayed release","tablet,delayed release (DR/EC)",125,each,17292,4538,249779,f
30,5mg,33772,capsule,roxicodone,manual,oxycodone 5 mg capsule,capsule,5,each,16285,24507,249787,f
30,5mg,33772,capsule,oxycodone,manual,oxycodone 5 mg capsule,capsule,5,each,16285,24507,249787,f
946,100mg-5ml,41268,liquid,iophen-nr,gcn_expansion,Tussin Cough Formula 100 mg/5 mL oral liquid,liquid,100,milliliters,2512,22210,249846,f
90,100mg,7743,tablet,nydrazid,manual,isoniazid 100 mg tablet,tablet,100,each,41741,9415,249895,f
90,100mg,7743,tablet,isoniazid,manual,isoniazid 100 mg tablet,tablet,100,each,41741,9415,249895,f
90,100mg,7743,tablet,dow-isoniazid,manual,isoniazid 100 mg tablet,tablet,100,each,41741,9415,249895,f
90,100mg,7743,tablet,nydrazid,manual,isoniazid 100 mg tablet,tablet,100,each,41741,9415,249895,f
90,100mg,7743,tablet,rimifon,manual,isoniazid 100 mg tablet,tablet,100,each,41741,9415,249895,f
90,100mg,7743,tablet,stanozide,manual,isoniazid 100 mg tablet,tablet,100,each,41741,9415,249895,f
90,100mg,7743,tablet,laniazid,manual,isoniazid 100 mg tablet,tablet,100,each,41741,9415,249895,f
60,25mg,6784,tablet,dapsone,manual,dapsone 25 mg tablet,tablet,25,each,43361,9623,249946,f
30,25mg,29979,tablet,hydroxyzine-hydrochloride,gcn_expansion,ANX 25 mg tablet,tablet,25,each,13943,3728,250050,f
30,25mg,29979,tablet,atarax,gcn_expansion,ANX 25 mg tablet,tablet,25,each,13943,3728,250050,f
30,25mg,29979,tablet,hydroxyzine-hydrochloride,gcn_expansion,ANX 25 mg tablet,tablet,25,each,13943,3728,250050,f
30,25mg,29979,tablet,atarax,gcn_expansion,ANX 25 mg tablet,tablet,25,each,13943,3728,250050,f
120,1mg,547,tablet,prednisone,gcn_expansion,Orasone 1 mg tablet,tablet,1,each,27171,6748,250079,f
120,1mg,547,tablet,prednisone,gcn_expansion,Orasone 1 mg tablet,tablet,1,each,27171,6748,250079,f
60,0.5mg,27348,capsule,agrylin,manual,Agrylin 0.5 mg capsule,capsule,0.5,each,22391,30949,250188,f
25,3ml-of-1.25mg-3ml,36448,vial,xopenex,gcn_expansion,Xopenex 1.25 mg/3 mL solution for nebulization,solution for nebulization,1.25,milliliters,24541,41849,250196,f
25,3ml-of-1.25mg-3ml,36448,vial,levalbuterol,gcn_expansion,Xopenex 1.25 mg/3 mL solution for nebulization,solution for nebulization,1.25,milliliters,24541,41849,250196,f
60,50mg,5082,capsule,minocin,manual,minocycline 50 mg capsule,capsule,50,each,40411,9227,250247,f
60,50mg,5082,capsule,minocycline,manual,minocycline 50 mg capsule,capsule,50,each,40411,9227,250247,f
60,50mg,5082,capsule,minocin,manual,minocycline 50 mg capsule,capsule,50,each,40411,9227,250247,f
60,50mg,5082,capsule,minocycline,manual,minocycline 50 mg capsule,capsule,50,each,40411,9227,250247,f
90,10mg-100mg,7098,tablet,sinemet,manual,carbidopa 10 mg-levodopa 100 mg tablet,tablet,10-100,each,62740,2537,250258,f
30,5mg,12812,tablet,prednisone,gcn_expansion,Deltasone 5 mg tablet,tablet,5,each,27176,6753,250260,t
30,5mg,12812,tablet,deltasone,gcn_expansion,Deltasone 5 mg tablet,tablet,5,each,27176,6753,250260,t
30,5mg,12812,tablet,prednisone,gcn_expansion,Deltasone 5 mg tablet,tablet,5,each,27176,6753,250260,t
30,5mg,12812,tablet,deltasone,gcn_expansion,Deltasone 5 mg tablet,tablet,5,each,27176,6753,250260,t
30,120mg,39359,capsule,diltiazem-er-dilacor-xr,manual,"diltiazem ER (XR/XT) 120 mg capsule,extended release 24 hr, controlled","capsule,ext.rel 24h degradable",120,each,7463,17205,250514,f
30,120mg,39359,capsule,dilacor-xr,manual,"diltiazem ER (XR/XT) 120 mg capsule,extended release 24 hr, controlled","capsule,ext.rel 24h degradable",120,each,7463,17205,250514,f
30,120mg,39359,capsule,dilt-xr,manual,"diltiazem ER (XR/XT) 120 mg capsule,extended release 24 hr, controlled","capsule,ext.rel 24h degradable",120,each,7463,17205,250514,f
30,300mg,7512,capsule,verelan-pm,manual,"verapamil ER (PM) 300 mg capsule 24hr pellet CT,ext.release","capsule, 24 hr ER pellet CT",300,each,94124,41653,250555,f
30,400mg,12969,tablet,ibuprofen,manual,ibuprofen 400 mg tablet,tablet,400,each,35741,8348,250621,f
30,400mg,12969,tablet,ibuprofen,manual,ibuprofen 400 mg tablet,tablet,400,each,35741,8348,250621,f
30,400mg,12969,tablet,motrin,manual,ibuprofen 400 mg tablet,tablet,400,each,35741,8348,250621,f
90,50mg-12.5mg,22723,tablet,hyzaar,manual,Hyzaar 50 mg-12.5 mg tablet,tablet,50-12.5,each,14852,23465,250623,f
90,50mg-12.5mg,22723,tablet,hyzaar,manual,Hyzaar 50 mg-12.5 mg tablet,tablet,50-12.5,each,14852,23465,250623,f
90,100mg,28467,tablet,losartan,gcn_expansion,Cozaar 100 mg tablet,tablet,100,each,14853,38686,250811,f
90,100mg,28467,tablet,losartan,gcn_expansion,Cozaar 100 mg tablet,tablet,100,each,14853,38686,250811,f
90,100mg,28467,tablet,cozaar,gcn_expansion,Cozaar 100 mg tablet,tablet,100,each,14853,38686,250811,f
60,25mg,151,tablet,captopril,manual,captopril 25 mg tablet,tablet,25,each,1481,380,250819,f
60,25mg,151,tablet,captopril,manual,captopril 25 mg tablet,tablet,25,each,1481,380,250819,f
60,25mg,151,tablet,capoten,manual,captopril 25 mg tablet,tablet,25,each,1481,380,250819,f
30,0.6mg,8718,patch,nitro-dur,gcn_expansion,Minitran 0.6 mg/hr transdermal 24 hour patch,patch 24 hour,0.6,each,1744,466,250854,f
30,0.6mg,8718,patch,minitran,gcn_expansion,Minitran 0.6 mg/hr transdermal 24 hour patch,patch 24 hour,0.6,each,1744,466,250854,f
60,150mg,7011,tablet,trileptal,gcn_expansion,Trileptal 150 mg tablet,tablet,150,each,21724,44336,250870,f
60,200mg,704,tablet,normodyne,gcn_expansion,Trandate 200 mg tablet,tablet,200,each,10341,5099,250917,f
60,200mg,704,tablet,normodyne,gcn_expansion,Trandate 200 mg tablet,tablet,200,each,10341,5099,250917,f
60,200mg,704,tablet,labetalol,gcn_expansion,Trandate 200 mg tablet,tablet,200,each,10341,5099,250917,f
30,5mg,36441,chewable-tablet,montelukast,gcn_expansion,Singulair 5 mg chewable tablet,"tablet,chewable",5,each,94440,37003,251025,f
30,40mg-5ml,13208,oral-solution,furosemide,manual,furosemide 40 mg/5 mL (8 mg/mL) oral solution,solution,40 mg/5 mL,milliliters,34951,8207,251043,f
30,40mg-5ml,13208,oral-solution,furosemide,manual,furosemide 40 mg/5 mL (8 mg/mL) oral solution,solution,40 mg/5 mL,milliliters,34951,8207,251043,f
20,400mg-57mg,27333,chewable-tablet,augmentin,manual,amoxicillin 400 mg-potassium clavulanate 57 mg chewable tablet,"tablet,chewable",400-57,each,67077,26718,251090,f
20,400mg-57mg,27333,chewable-tablet,amoxicillin-potassium-clavulanate,manual,amoxicillin 400 mg-potassium clavulanate 57 mg chewable tablet,"tablet,chewable",400-57,each,67077,26718,251090,f
20,400mg-57mg,27333,chewable-tablet,augmentin,manual,amoxicillin 400 mg-potassium clavulanate 57 mg chewable tablet,"tablet,chewable",400-57,each,67077,26718,251090,f
28,400mg,7687,tablet,erythromycin-ethylsuccinate,manual,erythromycin ethylsuccinate 400 mg tablet,tablet,400,each,40560,9245,251092,f
30,50mcg,30009,tablet,liothyronine,manual,liothyronine 50 mcg tablet,tablet,50,each,26342,6660,251106,f
30,50mcg,30009,tablet,cytomel,manual,liothyronine 50 mcg tablet,tablet,50,each,26342,6660,251106,f
90,5mg,28038,tablet,felodipine-er,gcn_expansion,"Plendil 5 mg tablet,extended release",tablet extended release 24 hr,5,each,2621,16295,251307,f
90,5mg,28038,tablet,felodipine-er,gcn_expansion,"Plendil 5 mg tablet,extended release",tablet extended release 24 hr,5,each,2621,16295,251307,f
90,5mg,28038,tablet,plendil,gcn_expansion,"Plendil 5 mg tablet,extended release",tablet extended release 24 hr,5,each,2621,16295,251307,f
120,125mg-5ml,36680,oral-suspension,griseofulvin-microsize,manual,griseofulvin microsize 125 mg/5 mL oral suspension,suspension,125,milliliters,42390,9517,251372,f
120,125mg-5ml,36680,oral-suspension,grifulvin-v,manual,griseofulvin microsize 125 mg/5 mL oral suspension,suspension,125,milliliters,42390,9517,251372,f
90,20mg,540,tablet,cortef,manual,hydrocortisone 20 mg tablet,tablet,20,each,26782,6704,251390,f
90,20mg,540,tablet,hydrocortisone,manual,hydrocortisone 20 mg tablet,tablet,20,each,26782,6704,251390,f
90,20mg,540,tablet,cortef,manual,hydrocortisone 20 mg tablet,tablet,20,each,26782,6704,251390,f
90,20mg,540,tablet,hydrocortisone,manual,hydrocortisone 20 mg tablet,tablet,20,each,26782,6704,251390,f
